PEM Size (MW),Curtailment Recovery (%),Residual Curtailment (MWh/year),H2 (kg/year),Utilization (%),Discounted LCOH (EUR/kg H2),NPV (EUR),PV Opportunity Cost (EUR/year),Pareto Efficient,Ideal-Point Distance
0.73,41.21872613078603,1565.2384,25971.982491944844,21.535037843247636,5.884784995511893,247919.69006796274,45653.965069,True,0.36507665685478724
0.74,41.73417252947169,1551.513,26304.69200941742,21.513420955201777,5.889623724968524,250006.16021625733,46270.874884,True,0.36201963083094035
0.75,42.247718685703695,1537.8382,26638.974374946818,21.49327701674277,5.894434207222682,252086.3950958734,46899.523099,True,0.3589824557207292
0.76,42.75958616925429,1524.2081,26972.548968329447,21.4730037851478,5.899286782728947,254122.7150134805,47528.347474,True,0.35596756849659805
0.77,43.269384416457136,1510.6331,27297.744174811567,21.44731809286604,5.903480069039362,256206.7717916522,48092.939065000006,True,0.352950157175683
0.78,43.77693692257838,1497.1179,27629.468403953717,21.426438648870157,5.908484516000862,258136.69473844056,48721.241200000004,True,0.3499885213923541
0.79,44.28268307174268,1483.6508,27952.72571310187,21.40027599560719,5.912892775497233,260102.1007477052,49286.129425,True,0.3470246996918244
0.8,44.78653273387318,1470.2342,28282.808415435247,21.379056792237446,5.917997560223554,261937.74636363937,49913.95524999999,True,0.34411124588351266
0.81,45.288125388662486,1456.8777,28609.31037016122,21.355802187270985,5.922790727241893,263787.84951040754,50515.026775,True,0.34120918067245903
0.82,45.78775395886035,1443.5735,28937.6005457032,21.33406420536808,5.928026460127771,265517.9570319627,51142.63488,True,0.33834961052662277
0.83,46.28592167072922,1430.3082,29257.146717317148,21.307191780821917,5.933560354986505,267064.13327562064,51730.523564999996,True,0.335526455570314
0.84,46.781535697087236,1417.1109,29580.92332494002,21.28333741030659,5.939002788602544,268641.61095133005,52344.368370000004,True,0.3327253158753864
0.85,47.27669907306098,1403.9256,29901.588169370843,21.258130539887187,5.944072235857991,270256.27085400186,52932.08684999999,True,0.3299211548704663
0.86,47.76938011650139,1390.8064,30226.729157457834,21.235993416162263,5.949447906261706,271804.1367071795,53558.941854,True,0.3271578763219505
0.87,48.25985297305888,1377.746,30545.271722801077,21.210172938644835,5.9541360710036395,273442.8000534016,54129.000068999994,True,0.324386099981811
0.88,48.74895510136423,1364.7221,30868.807249681355,21.187812629721876,5.959583471097561,274899.7893269195,54755.233914,True,0.3216722306920128
0.89,49.23681418569297,1351.7313,31188.873967009902,21.163817915961214,5.964659846451414,276394.9271538735,55352.729214000006,True,0.3189593134992143
0.9,49.72383581139095,1338.7628,31511.39523306731,21.141747843734144,5.970069849493806,277793.9095185753,55978.640154,True,0.31628115570481613
0.91,50.20906234639158,1325.8421,31827.241733023246,21.116157358623113,5.974754259445374,279302.15801366116,56545.06221900001,True,0.313587553777117
0.92,50.69304208199576,1312.9546,32148.385989274284,21.094061445304742,5.980200719540955,280621.6605374578,57170.619684000005,True,0.31095503851494827
0.93,51.17387853116967,1300.1508,32465.220397884576,21.069700986890556,5.985875043132658,281810.48084817524,57781.275759000004,True,0.3083681901161068
0.94,51.652491771781186,1287.4062,32781.05706214774,21.04510346837657,5.991145794704624,283073.1497694894,58376.31992399999,True,0.30578508315519953
0.95,52.12941131803183,1274.7067,33093.00798193035,21.01874309060322,5.996523376526366,284243.68106953823,58954.92827399999,True,0.3032320080063888
0.96,52.60401752564322,1262.0688,33407.04594301413,20.99387128995434,6.001896300038097,285404.65666265995,59549.262301999996,True,0.30070583321480676
0.97,53.075018530180486,1249.5269,33722.7507940104,20.970072494468766,6.007785356315702,286401.93010644056,60174.389807,True,0.2982467098788276
0.98,53.54276358569142,1237.0717,34033.93632621442,20.94403946510111,6.013434533743924,287399.10164495674,60767.893985999995,True,0.29580730623928553
0.99,54.00862342042815,1224.6667,34347.49739416523,20.919646234029795,6.0194810099259835,288269.31984490855,61392.85881600001,True,0.29341938726496614
1.0,54.47307121729419,1212.2993,34653.9000203645,20.891890410958904,6.024757271341143,289275.83372030803,61951.79119199999,True,0.2910055831344075
1.01,54.936486273696275,1199.9594,34962.991957131904,20.866031466160315,6.0304187595241485,290161.71492500114,62543.642201999995,True,0.2886378940683573
1.02,55.396987124280095,1187.6971,35270.820073168106,20.839777509177186,6.0360905886251315,291004.0900532026,63131.72926199999,True,0.2863036681083071
1.03,55.85571917210567,1175.4819,35577.8110603157,20.813478077758564,6.042346015235514,291631.9887214126,63739.01360699999,True,0.2840364522353866
1.04,56.31140932983743,1163.3477,35883.496992327855,20.7867656743941,6.0482358678660475,292328.669015507,64329.12684,True,0.2817787224343405
1.05,56.76490632236577,1151.2719,36184.78710939792,20.758195259839095,6.054758390603295,292762.98578150966,64919.12118,True,0.279596975171367
1.06,57.21508352372999,1139.2845,36488.07825439916,20.730874687688463,6.060825166793174,293322.07728258776,65508.54534,True,0.27741966161628434
1.07,57.662215079580534,1127.3782,36779.5825402712,20.698031622071436,6.067373699040791,293603.86565009435,66047.858685,True,0.2753148780573175
1.08,58.106068153885545,1115.5592,37076.52599633085,20.66817182479283,6.073766349986165,293945.5599370934,66618.24744,True,0.27323665751359516
1.09,58.548152425432285,1103.7873,37369.0005012787,20.636591470822335,6.079277464418354,294501.53993607685,67132.318635,True,0.2711180189398244
1.1,58.987852005362285,1092.0789,37667.43937141283,20.608257575757573,6.086112829681933,294649.69326996314,67735.78659,True,0.2691377384187465
1.11,59.42404402313474,1080.4639,37968.027636484265,20.581168497264386,6.092959465128629,294775.9499899389,68356.858481,True,0.26720039454576483
1.12,59.85759973615922,1068.9191,38263.85517520485,20.55213735322896,6.099989016673692,294770.3848452959,68960.00597600001,True,0.2653159848557522
1.13,60.28946551024271,1057.4193,38562.53913130627,20.524847456257326,6.106919567117345,294783.73094153055,69580.93900099999,True,0.26345591364760496
1.14,60.718946592709436,1045.983,38860.23053885015,20.497412480974127,6.113906231501551,294735.4467720068,70202.12442200001,True,0.26163776135367434
1.15,61.144563348131065,1034.6496,39148.85858111098,20.46601151479055,6.120784416918827,294619.7089375253,70767.746867,True,0.2598555087883735
1.16,61.56788929743267,1023.3772,39440.15165560758,20.43620492835774,6.128073064176961,294351.31841266993,71369.858882,True,0.2581484492879474
1.17,61.98949150901445,1012.1507,39722.97205527118,20.40300608828006,6.13465318665164,294224.78109950083,71896.08952699999,True,0.2564092813882499
1.18,62.4092873636393,1000.9723,40008.63639295289,20.371529873848772,6.1415956545768235,293963.2038537364,72458.004392,True,0.254739113448424
1.19,62.82720926374956,989.8438,40297.219650234634,20.34175875829784,6.14846498583237,293714.1758496992,73038.885572,True,0.25309744547120594
1.2,63.242355908576705,978.7892,40588.485076802186,20.313464611872146,6.155768637150351,293299.7136225812,73657.869542,True,0.2515410596145099
1.21,63.65405883338407,967.8263,40878.330748109285,20.284773010302278,6.1631822599859225,292800.1848412063,74276.853512,True,0.25004302612887397
1.22,64.06376763024106,956.9165,41155.35873677503,20.250917920503035,6.170045827277427,292366.64177872404,74798.404622,True,0.2485260128559038
1.23,64.47153487502582,946.0584,41439.364262792384,20.2204792664365,6.177211063253301,291842.7053697249,75379.359107,True,0.24707916267633073
1.24,64.87699253659122,935.2618,41714.29952809081,20.186545330681987,6.184190846209605,291286.8266122858,75900.553577,True,0.24565286212136053
1.25,65.280433537687,924.5189,41996.33816810312,20.15602191780822,6.191867931012287,290496.6177201378,76498.848353,True,0.2443451266625239
1.26,65.68322485114548,913.7933,42277.95987984908,20.12581177067478,6.1990156001898535,289858.06919048866,77076.50622,True,0.24301095579942886
1.27,66.08445015451862,903.1094,42558.838285411875,20.09569266170496,6.206075437079784,289212.0062835249,77649.83884499999,True,0.24170452886692473
1.28,66.484695293306,892.4516,42834.97728108139,20.06407231021689,6.213234825635157,288463.5764687769,78201.95507999999,True,0.2404456185392421
1.29,66.88358097010081,881.83,43106.139757644574,20.03085642986089,6.220586633019303,287577.09827976534,78735.36381000001,True,0.2392491388482503
1.3,67.28129120047667,871.2397,43372.29897139022,19.99608535300316,6.226522456533037,287149.1049740645,79180.18512,True,0.23791143833325282
1.31,67.67702983542135,860.7019,43650.14641182659,19.966420056467637,6.234143640866633,286141.1659602632,79774.57881,True,0.23682756370083755
1.32,68.07104473264621,850.21,43922.85673693516,19.935070741663203,6.241444009196644,285184.24966258043,80327.05173199999,True,0.23574526213488312
1.33,68.4636062823818,839.7568,44203.46790839795,19.907244996051773,6.248953875617261,284164.7913210632,80942.13733700001,True,0.23473165381030311
1.34,68.85350148401048,829.3746,44478.58682097961,19.877517378859125,6.256226931989971,283164.45980087644,81516.542552,True,0.23373442322170956
1.35,69.24047872440104,819.0701,44743.61327829315,19.844123118552343,6.262861252794127,282310.87483467604,82003.156247,True,0.23269710857863557
1.36,69.62521773454972,808.8252,45007.47662942249,19.810644137792103,6.269537272403355,281403.85344284517,82487.87115199999,True,0.23170826311386486
1.37,70.00813912148186,798.6287,45279.270423749156,19.780600273306,6.277382050865928,280062.8347034557,83078.802872,True,0.2309301343156584
1.38,70.38941187909155,788.4761,45550.25062051591,19.750603864734302,6.284804128492965,278845.14321907284,83649.631142,True,0.2301357168317108
1.39,70.76956927700019,778.3532,45816.08507496113,19.71905817811504,6.292287125392552,277537.9574526015,84194.89479199999,True,0.22939329841605927
1.4,71.14764241688157,768.2858,46090.01390684704,19.69088633398565,6.300024004533691,276145.0742889468,84806.831072,True,0.22873654150285938
1.41,71.52389417812655,758.2669,46344.749047522266,19.655873732957673,6.307023865143041,274894.549006891,85267.77990699999,True,0.22801403692325176
1.42,71.89857617386632,748.2898,46607.795366457605,19.624356871824556,6.314191421354838,273595.398420488,85792.587862,True,0.2273600496295712
1.43,72.27222918456204,738.3401,46860.86932681301,19.589589520068973,6.321975856004818,271958.61140760407,86287.035217,True,0.2268504659622388
1.44,72.64476308013678,728.4202,47117.83208053719,19.556686009639776,6.328696839663024,270739.3031549789,86759.930272,True,0.22620863286943987
1.45,73.0144315903516,718.5766,47382.85876098787,19.52698945048024,6.336202943318772,269217.8780625267,87324.56898699999,True,0.22574646022900285
1.46,73.38298474086533,708.7627,47647.27285978396,19.497444017013823,6.343694360600174,267664.94637142983,87888.60053200001,True,0.22532641981251159
1.47,73.74956254052802,699.0014,47910.75741661894,19.467868791352156,6.351213639077202,266061.51697676815,88452.024907,True,0.22495999005390446
1.48,74.11446917834905,689.2846,48173.42450740603,19.43832685425151,6.358686607596621,264438.7796892582,89011.982752,True,0.22463292585745306
1.49,74.47779478440529,679.6099,48440.16707594825,19.41054825166253,6.366522830178177,262653.9370822029,89619.40763199999,True,0.22441796288256724
1.5,74.84054581122159,669.9505,48682.119790890036,19.37446423135464,6.3732249087495525,261173.14837535284,90017.781058,True,0.22404415647192932
1.51,75.20274103589728,660.3059,48943.13443584337,19.345491245577428,6.380685409630915,259448.0469055383,90578.130943,True,0.22384681114777397
1.52,75.56423775247734,650.6799,49198.742730432714,19.315024933910117,6.388261357059807,257612.67947042407,91113.518698,True,0.22371670989821543
1.53,75.92467544065438,641.0821,49463.68543681546,19.288129346106782,6.395969721144961,255736.3698023425,91719.03059800001,True,0.2236559792885859
1.54,76.28299882744525,631.5406,49717.72528454966,19.257758850738302,6.403571230448231,253814.92098266562,92253.496074,True,0.22362848393465146
1.55,76.63986511132698,622.0379,49965.9160871858,19.2257394314332,6.411269049402785,251789.74455116573,92759.136684,True,0.2236700576493644
1.56,76.99515411886377,612.5772,50228.459666656825,19.198894303945675,6.419030874606376,249775.72495370987,93363.94328400001,True,0.22376949149637898
1.57,77.34893344761326,603.1567,50480.07847451372,19.168674199459034,6.4266232623299535,247746.4303134561,93894.061059,True,0.2238864073812362
1.58,77.70146973238616,593.7693,50736.161409206485,19.140276573608457,6.434542688593545,245564.02609669347,94473.31544399999,True,0.22411745826060303
1.59,78.05161757012242,584.4455,50980.798064097486,19.10833405129089,6.441268349593168,243813.20202017063,94922.02455899998,True,0.22415206105798594
1.6,78.39923049944717,575.1892,51239.82498886736,19.081381992009135,6.449140685266351,241599.28805591818,95525.56814399999,True,0.22447503947944458
1.61,78.74539383670255,565.9715,51492.93805187181,19.05277872316288,6.456726193329076,239449.40029878775,96080.23454399999,True,0.22478637925626976
1.62,79.09044556967675,556.7834,51729.62142624047,19.019168921585205,6.4646200126784175,237054.79704211326,96548.483124,True,0.2252176568109492
1.63,79.43400264554307,547.6351,51986.638567887116,18.992461551390875,6.472497729783266,234727.18207123782,97151.241864,True,0.22568708301532658
1.64,79.77645187254812,538.5163,52237.774487751296,18.9641622118276,6.480074422742594,232473.34456416615,97704.212664,True,0.22613758974093684
1.65,80.11747404000295,529.4355,52493.572037940816,18.937634564826343,6.4879451662629295,230075.25465303077,98306.667819,True,0.22670034568513786
1.66,80.4571329900454,520.391,52748.743870835526,18.911176899378336,6.49581662848355,227639.674044949,98909.122974,True,0.2273111085207308
1.67,80.79624740420685,511.361,52992.73210953284,18.881521204167008,6.5034442610132395,225232.7976453791,99429.93947,True,0.22791357873057896
1.68,81.1343816537825,502.3571,53241.590039944436,18.853714122635356,6.5114292761057335,222651.57500478602,100005.2126,True,0.2286440156610967
