PEM Size (MW),Curtailment Recovery (%),Discounted LCOH (EUR/kg H2),NPV (EUR),H2 (kg/year),Utilization (%),Avoided Curtailment (MWh),Residual Curtailment (MWh),Lost Export Energy (MWh),PV Opportunity Cost (EUR/year),Pareto Efficient,Balanced Distance to Ideal,Balanced Compromise
0.94,51.652491771781186,5.945214415594569,298247.50588733004,33034.31607928266,21.04510346837657,1375.4119,1287.4062,357.5261,58376.31992399999,True,0.30513652882429537,False
0.95,52.12941131803183,5.9510043619824025,299410.13959139667,33346.135188701744,21.01874309060322,1388.1114,1274.7067,361.0684,58954.92827399999,True,0.3025624629328696,False
0.96,52.60401752564322,5.956826225957236,300549.2205024648,33659.8077289654,20.99387128995434,1400.7493,1262.0688,364.7513,59549.262301999996,True,0.30001637078880117,False
0.97,53.075018530180486,5.9632146542030675,301504.0314723467,33974.80388403275,20.970072494468766,1413.2912,1249.5269,368.5778,60174.389807,True,0.2975349190108916,False
0.98,53.54276358569141,5.969359506694954,302455.54481422046,34285.22738390301,20.94403946510111,1425.7464,1237.0717,372.2575,60767.893985999995,True,0.29507405057127667,False
0.99,54.00862342042816,5.9759277910286945,303268.08037004946,34597.82573227331,20.919646234029795,1438.1514,1224.6667,376.084,61392.85881600001,True,0.29266192654956186,False
1.0,54.47307121729419,5.981675260232502,304230.28938441165,34903.488913222085,20.891890410958904,1450.5188,1212.2993,379.6108,61951.79119199999,True,0.2902267273622669,False
1.01,54.936486273696275,5.9878207612127605,305064.73702541017,35211.72242715508,20.866031466160315,1462.8587,1199.9594,383.2843,62543.642201999995,True,0.28783422686522503,False
1.02,55.396987124280095,5.993992806992873,305846.4823439343,35518.538635609264,20.839777509177186,1475.1209999999999,1187.6971,386.9548,63131.72926199999,True,0.2854752061409661,False
1.03,55.855719172105665,6.000744497625708,306410.4295692359,35824.46227733214,20.813478077758564,1487.3362,1175.4819,390.6223,63739.01360699999,True,0.28317683138353794,False
1.04,56.31140932983744,6.007152169610392,307032.85585928074,36128.9089148439,20.7867656743941,1499.4704,1163.3477,394.2871,64329.12684,True,0.2808916874412993,False
1.05,56.764906322365775,6.014169693526504,307394.8886456599,36428.99261699316,20.758195259839095,1511.5462,1151.2719,397.7926,64919.12118,True,0.2786743072901985,False
1.06,57.215083523729994,6.020782557990506,307862.1228326161,36730.75066939328,20.730874687688463,1523.5336,1139.2845,401.4525,65508.54534,True,0.27646802706955914,False
1.07,57.662215079580534,6.027812729436052,308066.89696175116,37020.969592633526,20.698031622071436,1535.4398999999999,1127.3782,404.628,66047.858685,True,0.2743245248921828,False
1.08,58.10606815388554,6.034759105947746,308304.7425398449,37316.17982049266,20.66817182479283,1547.2589,1115.5592,408.1155,66618.24744,True,0.27221302224423705,False
1.09,58.548152425432285,6.040801364851917,308762.6496662065,37607.01749557209,20.636591470822335,1559.0308,1103.7873,411.4335,67132.318635,True,0.27006751572252946,False
1.1,58.987852005362285,6.048219793505126,308789.49410258245,37903.43172809295,20.608257575757573,1570.7392,1092.0789,415.0725,67735.78659,True,0.2680500842419351,False
1.11,59.42404402313473,6.055696544719894,308774.27834995114,38201.65882679359,20.581168497264386,1582.3542,1080.4639,418.8763,68356.858481,True,0.26607812086416077,False
1.12,59.857599736159216,6.063339245822116,308628.1588605237,38495.14052263703,20.55213735322896,1593.899,1068.9191,422.5123,68960.00597600001,True,0.2641552770007876,False
1.13,60.2894655102427,6.070908760229781,308489.0807191246,38791.28052812131,20.524847456257326,1605.3988,1057.4193,426.3148,69580.93900099999,True,0.26225904404586436,False
1.14,60.718946592709436,6.078539038331381,308282.72692408075,39086.333763891234,20.497412480974127,1616.8351,1045.983,430.1185,70202.12442200001,True,0.26040389676577175,False
1.15,61.144563348131065,6.08603145241435,308014.0737593498,39372.409659231096,20.46601151479055,1628.1685,1034.6496,433.5775,70767.746867,True,0.25858297856785,False
1.16,61.56788929743268,6.093962452125912,307578.69350871607,39660.91568606032,20.43620492835774,1639.4409,1023.3772,437.2045,71369.858882,True,0.2568343753444676,False
1.17,61.98949150901445,6.101135438028188,307300.0690921112,39941.19776185462,20.40300608828006,1650.6673999999998,1012.1507,440.4775,71896.08952699999,True,0.2550569100183548,False
1.18,62.4092873636393,6.108694612793407,306874.2174953976,40224.120371298326,20.371529873848772,1661.8458,1000.9723,443.9185,72458.004392,True,0.2533457667312387,False
1.19,62.82720926374955,6.116209942631016,306447.32074173307,40509.735010711884,20.34175875829784,1672.9742999999999,989.8438,447.532,73038.885572,True,0.25166597841373634,False
1.2,63.2423559085767,6.124194812522012,305837.6595380098,40797.742579049605,20.313464611872146,1684.0288999999998,978.7892,451.3225,73657.869542,True,0.2500691253225546,False
1.21,63.65405883338408,6.1323085993829825,305131.30789972446,41084.13639032025,20.284773010302278,1694.9918,967.8263,455.113,74276.853512,True,0.24853074838056888,False
1.22,64.06376763024106,6.139795763513674,304515.7420411892,41358.12643035302,20.250917920503035,1705.9016,956.9165,458.3545,74798.404622,True,0.24697265181290776,False
1.23,64.47153487502582,6.147636656647885,303787.15895160654,41638.716416575335,20.2204792664365,1716.7597,946.0584,461.9565,75379.359107,True,0.24548558308635673,False
1.24,64.87699253659122,6.15524301897868,303041.2431849131,41910.47997654344,20.186545330681987,1727.5563,935.2618,465.187,75900.553577,True,0.2440163726279551,False
1.25,65.28043353768702,6.163596895619619,302038.1711290989,42188.96594419221,20.15602191780822,1738.2992,924.5189,468.7852,76498.848353,True,0.24266149935461515,False
1.26,65.68322485114548,6.171406597048604,301190.5748069329,42467.09866187109,20.12581177067478,1749.0248,913.7933,472.3818,77076.50622,True,0.24128509902913473,False
1.27,66.08445015451862,6.179125221059646,300333.6857393299,42744.45839251844,20.09569266170496,1759.7087,903.1094,475.9773,77649.83884499999,True,0.2399370382659653,False
1.28,66.48469529330599,6.186905123004052,299385.9341343287,43017.270720466375,20.06407231021689,1770.3665,892.4516,479.3778,78201.95507999999,True,0.23863085284237762,False
1.29,66.88358097010081,6.194842593392523,298310.3399260428,43285.27686296214,20.03085642986089,1780.9881,881.83,482.5788,78735.36381000001,True,0.23738029120579834,False
1.3,67.28129120047667,6.201332572393452,297705.09435968,43548.47774800035,19.99608535300316,1791.5783999999999,871.2397,485.5758,79180.18512,True,0.2360038841201867,False
1.31,67.67702983542135,6.209580928736359,296486.5135405222,43822.80959039896,19.966420056467637,1802.1162,860.7019,489.1503,79774.57881,True,0.2348660037225474,False
1.32,68.07104473264621,6.217483113031218,295326.2676514805,44092.126357846035,19.935070741663203,1812.6081,850.21,492.524,80327.05173199999,True,0.23373087214569033,False
1.33,68.4636062823818,6.225644871396063,294080.8953516148,44368.96704003046,19.907244996051773,1823.0612999999998,839.7568,496.292,80942.13733700001,True,0.23266700264783358,False
1.34,68.8535014840105,6.2335561531615955,292856.760942816,44640.35069695042,19.877517378859125,1833.4434999999999,829.3746,499.859,81516.542552,True,0.23162121405896233,False
1.35,69.24047872440104,6.2407886744757315,291792.65751856996,44901.8636148848,19.844123118552343,1843.748,819.0701,503.018,82003.156247,True,0.23053980821033446,False
1.36,69.62521773454972,6.2480666404870995,290670.6407094667,45162.13870647653,19.810644137792103,1853.9929,808.8252,506.168,82487.87115199999,True,0.22950674679549168,False
1.37,70.00813912148186,6.256562425211583,289090.63429929584,45429.94381211424,19.780600273306,1864.1894,798.6287,509.72,83078.802872,True,0.22867301792483505,False
1.38,70.38941187909155,6.264634190477264,287632.2311625921,45696.90654705221,19.750603864734302,1874.342,788.4761,513.269,83649.631142,True,0.22782917595359323,False
1.39,70.76956927700017,6.272731896778532,286095.9026935773,45958.916624688354,19.71905817811504,1884.4649,778.3532,516.6065,84194.89479199999,True,0.2270316412965671,False
1.4,71.14764241688157,6.281139425995797,284447.8070026757,46228.585976085655,19.69088633398565,1894.5322999999999,768.2858,520.358,84806.831072,True,0.22632335230788897,False
1.41,71.52389417812654,6.2887055233817035,282983.1011263405,46479.74645656606,19.655873732957673,1904.5511999999999,758.2669,523.2637,85267.77990699999,True,0.22554657932392427,False
1.42,71.89857617386633,6.296487659048489,281447.2327754971,46738.84197140171,19.624356871824556,1914.5283,748.2898,526.5847,85792.587862,True,0.22484239318090257,False
1.43,72.27222918456204,6.304821606158005,279597.93003507354,46988.36905807993,19.589589520068973,1924.478,738.3401,529.4707,86287.035217,True,0.22426288257636023,False
1.44,72.64476308013678,6.312113923363911,278156.10600806016,47241.61803799514,19.556686009639776,1934.3979,728.4202,532.5607,86759.930272,True,0.2235717162935625,False
1.45,73.01443159035159,6.320256060180739,276381.0892020921,47502.41228923301,19.52698945048024,1944.2415,718.5766,536.0767,87324.56898699999,True,0.22305691768439267,False
1.46,73.38298474086533,6.328375929683075,274575.3818383866,47762.607578486,19.497444017013823,1954.0554,708.7627,539.5897,87888.60053200001,True,0.22258346486542208,False
1.47,73.74956254052802,6.336525499175668,272715.68871055276,48021.81511027382,19.467868791352156,1963.8166999999999,699.0014,543.0997,88452.024907,True,0.22216363094666236,False
1.48,74.11446917834907,6.3446286545153745,270834.19505864993,48280.163574160724,19.43832685425151,1973.5335,689.2846,546.6067,89011.982752,True,0.22178418132041733,False
1.49,74.47779478440529,6.353119529657539,268777.09860966064,48542.36224378005,19.41054825166253,1983.2082,679.6099,550.3342,89619.40763199999,True,0.22151460122329455,False
1.5,74.84054581122159,6.360335102585444,267084.42420245416,48780.7786001574,19.37446423135464,1992.8676,669.9505,552.937,90017.781058,True,0.22108335792479514,False
1.51,75.20274103589728,6.368403766226516,265103.44299436285,49037.522628913415,19.345491245577428,2002.5122000000001,660.3059,556.432,90578.130943,True,0.22083066213792032,False
1.52,75.56423775247735,6.376551068983351,263026.2163060783,49289.094308290405,19.315024933910117,2012.1381999999999,650.6799,559.696,91113.518698,True,0.22063685379119236,False
1.53,75.92467544065438,6.384875496082197,260886.00382552523,49549.63249388909,19.288129346106782,2021.7359999999999,641.0821,563.4134,91719.03059800001,True,0.22051776029639877,False
1.54,76.28299882744525,6.393045485654473,258719.4989949172,49799.58237273175,19.257758850738302,2031.2775,631.5406,566.6712,92253.496074,True,0.22042567448491787,False
1.55,76.63986511132698,6.401282608528778,256460.23989125204,50043.86635078695,19.2257394314332,2040.7802,622.0379,569.6907,92759.136684,True,0.22039547645294308,True
1.56,76.99515411886377,6.40966490191701,254173.29511258105,50301.854826726136,19.198894303945675,2050.2409,612.5772,573.4032,93363.94328400001,True,0.22043678594785146,False
1.57,77.34893344761326,6.417824564956751,251893.06633168913,50549.28556008879,19.168674199459034,2059.6614,603.1567,576.6447,93894.061059,True,0.22048921386796194,False
1.58,77.70146973238616,6.4263331510123765,249447.48237705545,50800.97604206558,19.140276573608457,2069.0488,593.7693,580.1186,94473.31544399999,True,0.2206534836602293,False
1.59,78.05161757012242,6.4336042170940395,247452.02265270028,51041.5297438978,19.10833405129089,2078.3725999999997,584.4455,583.1126,94922.02455899998,True,0.2206372040863369,False
1.6,78.39923049944717,6.442109918096286,244949.92658490868,51295.74692809407,19.081381992009135,2087.6288999999997,575.1892,586.8176,95525.56814399999,True,0.22090359705345547,False
1.61,78.74539383670255,6.450299813226313,242523.22810635838,51544.24003815326,19.05277872316288,2096.8466,565.9715,590.2811,96080.23454399999,True,0.2211589174440229,False
1.62,79.09044556967673,6.458713121204679,239889.43535020578,51776.931355325134,19.019168921585205,2106.0347,556.7834,593.0136,96548.483124,True,0.22151076423880445,False
1.63,79.43400264554307,6.467217695522096,237270.24058143812,52029.08204910031,18.992461551390875,2115.183,547.6351,596.7126,97151.241864,True,0.2219230935255957,False
1.64,79.77645187254811,6.475391188111493,234736.9979501741,52275.55471560561,18.9641622118276,2124.3018,538.5163,600.1656,97704.212664,True,0.22231708821865445,False
1.65,80.11747404000296,6.483884008201656,232045.25424785988,52526.451203110526,18.937634564826343,2133.3826,529.4355,603.8631,98306.667819,True,0.2228227381855068,False
1.66,80.4571329900454,6.492376558930087,229314.31226737116,52776.69347390097,18.911176899378336,2142.4271,520.391,607.5606,98909.122974,True,0.2233766029092989,False
1.67,80.79624740420684,6.500562889379003,226640.1731176505,53016.22111467278,18.881521204167008,2151.4571,511.361,610.7584,99429.93947,True,0.22391434384495462,False
1.68,81.13438165378251,6.509130863137147,223777.99780489487,53260.389963250476,18.853714122635356,2160.461,502.3571,614.2024,100005.2126,True,0.2245776047360796,False
1.69,81.47078089937875,6.517723946174032,220864.80518425023,53503.66139341895,18.82590378536111,2169.4187,493.3994,617.6434,100580.16413,True,0.2252956399904207,False
1.7,81.80483676297679,6.525955190749229,218055.9421900105,53740.43972112688,18.796269137792105,2178.314,484.5041,620.8264,101097.47516,True,0.2259867486764272,False
1.71,82.13818660763948,6.534061023759951,215291.07377500372,53982.08662621645,18.768527864562472,2187.1905,475.6276,624.2599,101643.72636500001,True,0.22669119196374884,False
1.72,82.46993664343802,6.541869400709993,212606.3638980171,54217.519596380254,18.73909419135606,2196.0244,466.7937,627.4324,102137.11514000001,True,0.2273760020263292,False
1.73,82.7998352572412,6.550163783936635,209659.785292799,54451.94591377945,18.70963589093885,2204.809,458.0091,630.5989,102654.05135,True,0.22821613633013585,False
1.74,83.12719896263286,6.558757441197831,206576.02227202657,54695.95394934414,18.68345864168372,2213.5261,449.292,634.2814,103254.08678,True,0.22916908779275805,False
1.75,83.45257605091389,6.567821318134217,203170.94549176443,54922.58202915127,18.65209849967384,2222.1903,440.6278,637.1764,103770.00146,True,0.23028581166699483,False
1.76,83.77722458774033,6.576710533920091,199831.11512163607,55154.167808444785,18.62262544105438,2230.8351,431.983,640.3268,104312.997328,True,0.23140471500977927,False
1.77,84.10122343692946,6.58505054091937,196714.83512406243,55385.31058849486,18.593342233573253,2239.4626,423.3555,643.4723,104826.774913,True,0.2324370491709084,False
1.78,84.42377644946907,6.593628252627233,193488.29722848808,55626.77489710935,18.56752732030168,2248.0516,414.7665,647.1458,105425.68457800001,True,0.2335651672155243,False
1.79,84.74483480490088,6.602215940676569,190219.1079178956,55867.52735637991,18.541747021759647,2256.6008,406.2173,650.8193,106024.594243,True,0.23473969633010677,False
1.8,85.06403047207768,6.610983014158924,186806.69496024598,56101.76922229194,18.514226281075594,2265.1004,397.7177,654.2228,106594.662508,True,0.23600494042116302,False
1.81,85.3820920024541,6.619890370599646,183271.06544432353,56329.73626471375,18.48508791846414,2273.5698,389.2483,657.3518,107135.20234300001,True,0.23735003690433698,False
